"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","%D","ADP","Bye","% Owned"
"Pinegar, Jake","PSU","K","Fr","48","FA","App Sat 3:30PM","95","7.92","11%","355.8","6","0%"
"Coghlin, Matt","MSU","K","So","49","FA","UtSt Fri 7:00PM","92","7.67","11%","-","3","0%"
"Bryant, Tre","Neb","RB,FLX","Jr","50","FA","Akr Sat 8:00PM","90","9","100%","158.38","9","0%"
"Heyward, Connor","MSU","RB,FLX","So","51","FA","UtSt Fri 7:00PM","90","7.5","0%","-","3","0%"
"Melton, Bo","Rut","WR,FLX","So","52","FA","TxSt Sat 12:00PM","90","7.5","5%","-","9","0%"
"Petrino, Joseph","MD","K","Fr","53","WW","Tex Sat 12:00PM","89","7.42","2%","335.9","5","0%"
"Gaglianone, Rafael","Wisc","K","Sr","54","FA","W Ky Fri 9:00PM","86","7.17","100%","172.66","5","0%"
"Nordin, Quinn","Mich","K","Jr","55","FA","@ND Sat 7:30PM","85","7.08","96%","176.46","9","0%"
"Pickering, Barret","Neb","K","Fr","56","FA","Akr Sat 8:00PM","85","7.08","17%","338.73","9","0%"
"Easley, Nick","Iowa","WR,FLX","Sr","57","FA","NIU Sat 3:30PM","84","7","0%","-","5","0%"
"McLaughlin, Chase","Ill","K","Sr","58","FA","Kent Sat 12:00PM","82","6.83","0%","-","5","0%"
"Kuhbander, Charlie","NW","K","So","59","FA","@Purd Thu 8:00PM","81","6.75","0%","-","4","0%"
"Carpenter, Emmit","Minn","K","Sr","60","FA","NMSt Thu 7:00PM","79","6.58","0%","-","5","0%"
"Campbell, Parris","OHSt","WR,FLX","Sr","61","FA","OreSt Sat 12:00PM","78","6.5","100%","119.56","9","0%"
"Ibrahim, Mohamed","Minn","RB,FLX","Fr","62","FA","NMSt Thu 7:00PM","78","6.5","0%","-","5","0%"
"Jones, Markell","Purd","RB,FLX","Sr","63","FA","NW Thu 8:00PM","78","6.5","7%","-","6","0%"
"Zico, Isaac","Purd","WR,FLX","Sr","64","FA","NW Thu 8:00PM","78","6.5","7%","-","6","0%"
"Stevens, Tommy","PSU","QB,FLX","Jr","65","FA","App Sat 3:30PM","76","6.33","0%","-","6","0%"
"Campbell, Charles","Ind","K","Fr","66","WW","@FLInt Sat 7:00PM","73","6.08","0%","-","10","0%"
