"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","%D","ADP","Bye","GP","Yds","TD","Int","2Pa","Yds","TD","2Rc","Yds","TD","2Ru","FL","RtY","RtT"
"Martell, Tate","OHSt","QB,FLX","Fr","65","FA","OreSt Sat 12:00PM","34","6.8","0%","515.5","9","5","224","2","1","0","0","0","0","123","2","0","0","0","0"
"Thomas, Cam","Ill","QB,FLX","So","66","FA","Kent Sat 12:00PM","292","24.33","0%","-","5","12","1928","14","13","0","0","0","0","658","7","0","0","0","0"
"Sindelar, Elijah","Purd","QB,FLX","Jr","67","FA","NW Thu 8:00PM","244","27.11","0%","-","6","9","2066","17","10","0","0","0","0","0","0","0","0","0","0"
"Sitkowski, Artur","Rut","QB,FLX","Fr","68","FA","TxSt Sat 12:00PM","242","20.17","0%","-","9","12","2081","15","11","0","0","0","0","20","2","0","0","0","0"
"Ramsey, Peyton","Ind","QB,FLX","So","69","FA","@FLInt Sat 7:00PM","210","23.33","0%","-","10","9","1908","10","3","0","0","0","0","216","2","0","0","0","0"
"Blough, David","Purd","QB,FLX","Sr","70","FA","NW Thu 8:00PM","150","15","0%","-","6","10","1407","11","6","0","0","0","0","106","2","0","0","0","0"
"Skowronek, Bennett","NW","WR,FLX","Jr","71","FA","@Purd Thu 8:00PM","114","9.5","12%","-","4","12","0","0","0","0","731","6","0","0","0","0","0","0","0"
"Hilliman, Jonathan","Rut","RB,FLX","Sr","72","FA","TxSt Sat 12:00PM","108","9","62%","-","9","12","0","0","0","0","92","1","0","712","7","0","0","0","0"
"Morgan, Tanner","Minn","QB,FLX","Fr","73","FA","NMSt Thu 7:00PM","100","11.11","0%","-","5","9","1133","9","7","0","0","0","0","0","0","0","0","0","0"
"Heyward, Connor","MSU","RB,FLX","So","74","FA","UtSt Fri 7:00PM","90","7.5","0%","-","3","12","0","0","0","0","74","0","0","636","5","0","0","0","0"
"Melton, Bo","Rut","WR,FLX","So","75","FA","TxSt Sat 12:00PM","90","7.5","5%","-","9","12","0","0","0","0","603","5","0","0","0","0","0","0","0"
"Easley, Nick","Iowa","WR,FLX","Sr","76","FA","NIU Sat 3:30PM","84","7","0%","-","5","12","0","0","0","0","592","6","0","0","0","0","0","0","0"
"Ibrahim, Mohamed","Minn","RB,FLX","Fr","77","FA","NMSt Thu 7:00PM","78","6.5","0%","-","5","12","0","0","0","0","52","0","0","501","5","0","0","0","0"
"Jones, Markell","Purd","RB,FLX","Sr","78","FA","NW Thu 8:00PM","78","6.5","7%","-","6","12","0","0","0","0","102","1","0","531","4","0","0","0","0"
"Zico, Isaac","Purd","WR,FLX","Sr","79","FA","NW Thu 8:00PM","78","6.5","7%","-","6","12","0","0","0","0","545","5","0","0","0","0","0","0","0"
"Stevens, Tommy","PSU","QB,FLX","Jr","80","FA","App Sat 3:30PM","76","6.33","0%","-","6","12","197","2","1","0","122","2","0","223","5","0","0","0","0"
"Anthrop, Jackson","Purd","WR,FLX","So","81","FA","NW Thu 8:00PM","72","6","10%","-","6","12","0","0","0","0","573","4","0","0","0","0","0","0","0"
"Harrison III, Lorenzo","MD","RB,FLX","Jr","82","FA","Tex Sat 12:00PM","72","6","0%","-","5","12","0","0","0","0","59","0","0","517","4","0","0","0","0"
"Hill, Kasim","MD","QB,FLX","Fr","83","FA","Tex Sat 12:00PM","72","12","0%","-","5","6","693","5","3","0","0","0","0","230","2","0","0","0","0"
"White, Cody","MSU","WR,FLX","So","84","FA","UtSt Fri 7:00PM","72","6","0%","-","3","12","0","0","0","0","513","4","0","18","0","0","0","0","0"
"Davenport, Jahrvis","MD","WR,FLX","Sr","85","FA","Tex Sat 12:00PM","66","5.5","0%","-","5","12","0","0","0","0","489","3","0","0","0","0","0","0","0"
"Mack, Austin","OHSt","WR,FLX","Jr","86","FA","OreSt Sat 12:00PM","66","5.5","10%","-","9","12","0","0","0","0","475","5","0","0","0","0","0","0","0"
"Nagel, Flynn","NW","WR,FLX","Sr","87","FA","@Purd Thu 8:00PM","66","5.5","0%","-","4","12","0","0","0","0","578","3","0","11","0","0","0","0","0"
"Taylor, A.J.","Wisc","WR,FLX","Jr","88","FA","W Ky Fri 9:00PM","66","5.5","0%","-","5","12","0","0","0","0","474","5","0","22","0","0","0","0","0"
"Timian, Luke","Ind","WR,FLX","Sr","89","FA","@FLInt Sat 7:00PM","66","5.5","59%","-","10","12","0","0","0","0","569","3","0","0","0","0","0","0","0"
"Gest, Cole","Ind","RB,FLX","So","90","FA","@FLInt Sat 7:00PM","60","5","0%","-","10","12","0","0","0","0","88","1","0","451","3","0","0","0","0"
"Lees, Riley","NW","WR,FLX","So","91","FA","@Purd Thu 8:00PM","60","5","0%","-","4","12","0","0","0","0","442","4","0","0","0","0","0","0","0"
"Smith-Marsette, Ihmir","Iowa","WR,FLX","So","92","FA","NIU Sat 3:30PM","60","5","0%","-","5","12","0","0","0","0","378","4","0","55","0","0","0","0","0"
"Wilson, Tru","Mich","RB,FLX","Jr","93","FA","@ND Sat 7:30PM","60","5","0%","-","9","12","0","0","0","0","22","0","0","418","4","0","0","0","0"
"Brown, Jesse","NW","RB,FLX","So","94","FA","@Purd Thu 8:00PM","54","4.5","0%","-","4","12","0","0","0","0","109","0","0","461","3","0","0","0","0"
"Fuller, Tario","Purd","RB,FLX","Jr","95","FA","NW Thu 8:00PM","54","5.4","0%","-","6","10","0","0","0","0","88","0","0","445","3","0","0","0","0"
"Hale, Donavan","Ind","WR,FLX","Jr","96","FA","@FLInt Sat 7:00PM","54","6","0%","-","10","9","0","0","0","0","390","3","0","0","0","0","0","0","0"
"Polk, Brandon","PSU","WR,FLX","Jr","97","FA","App Sat 3:30PM","54","4.5","0%","-","6","12","0","0","0","0","455","2","0","0","0","0","0","0","1"
"Turner, DJ","MD","WR,FLX","Jr","98","FA","Tex Sat 12:00PM","54","4.5","0%","-","5","12","0","0","0","0","445","3","0","0","0","0","0","0","0"
"Victor, Binjimen","OHSt","WR,FLX","Jr","99","FA","OreSt Sat 12:00PM","54","4.5","10%","-","9","12","0","0","0","0","478","3","0","0","0","0","0","0","0"
"Wright, Terry","Purd","WR,FLX","Sr","100","FA","NW Thu 8:00PM","54","4.5","0%","-","6","12","0","0","0","0","369","3","0","0","0","0","0","0","0"
"Bonner, Ra'Von","Ill","RB,FLX","So","101","FA","Kent Sat 12:00PM","48","4","0%","-","5","12","0","0","0","0","25","0","0","340","4","0","0","0","0"
"Chambers, Cam","MSU","WR,FLX","So","102","FA","UtSt Fri 7:00PM","48","4","0%","-","3","12","0","0","0","0","365","2","0","0","0","0","0","0","0"
"Wilbon, Mikale","Neb","RB,FLX","Sr","103","FA","Akr Sat 8:00PM","48","4","0%","-","9","12","0","0","0","0","104","1","0","302","3","0","0","0","0"
"Annexstad, Zack","Minn","QB,FLX","Fr","104","FA","NMSt Thu 7:00PM","46","7.67","0%","-","5","6","610","5","4","0","0","0","0","0","0","0","0","0","0"
"Edmonds, Nolan","Minn","RB,FLX","Fr","105","FA","NMSt Thu 7:00PM","42","4.67","0%","-","5","9","0","0","0","0","71","0","0","296","3","0","0","0","0"
"Ferguson, Jake","Wisc","TE,FLX","Fr","106","FA","W Ky Fri 9:00PM","42","3.5","5%","-","5","12","0","0","0","0","247","3","0","0","0","0","0","0","0"
"Green, Cameron","NW","TE,FLX","Jr","107","FA","@Purd Thu 8:00PM","42","3.5","1%","-","4","12","0","0","0","0","271","3","0","0","0","0","0","0","0"
"Herdman, Cole","Purd","TE,FLX","Sr","108","FA","NW Thu 8:00PM","42","3.5","1%","-","6","12","0","0","0","0","291","3","0","0","0","0","0","0","0"
