"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","%D","ADP","Bye","% Owned"
"Turner, DJ","MD","WR,FLX","Jr","470","FA","Tex Sat 12:00PM","2","0.33","0%","-","5","0%"
"White, Brendon","OHSt","WR,FLX,DB","So","471","FA","OreSt Sat 12:00PM","2","2","0%","-","9","0%"
"Bennett, Kenny","MD","DB","Fr","472","FA","Tex Sat 12:00PM","2","2","0%","-","5","-"
"Brown IV, Earnest","NW","DL","So","473","FA","@Purd Thu 8:00PM","2","1","0%","-","4","-"
"Cone, Madison","Wisc","DB","So","474","FA","W Ky Fri 9:00PM","2","1","0%","-","5","-"
"Currens, Seth","Wisc","DB","So","475","FA","W Ky Fri 9:00PM","2","2","0%","-","5","-"
"Dever, Kevin","OHSt","DB","So","476","FA","OreSt Sat 12:00PM","2","2","0%","-","9","-"
"Glackin, Jango","NW","LB","So","477","FA","@Purd Thu 8:00PM","2","2","0%","-","4","-"
"Howe, Kraig","Wisc","DL","Jr","478","FA","W Ky Fri 9:00PM","2","2","0%","-","5","-"
"Larry, Tobias","Purd","LB","So","479","FA","NW Thu 8:00PM","2","2","0%","-","6","-"
"Milani, John","Iowa","DB","Jr","480","FA","NIU Sat 3:30PM","2","2","0%","-","5","-"
"Neal, DaiShon","Neb","DL","Jr","481","FA","Akr Sat 8:00PM","2","2","0%","-","9","-"
"Preston, Keldric","Wisc","DL","So","482","FA","W Ky Fri 9:00PM","2","2","0%","-","5","-"
"Spivak, Joe","NW","DL","So","483","FA","@Purd Thu 8:00PM","2","2","0%","-","4","-"
"Thieneman, Brennan","Purd","DB","So","484","FA","NW Thu 8:00PM","2","2","0%","-","6","-"
"Vranic, Jason","PSU","LB","Sr","485","FA","App Sat 3:30PM","2","2","0%","-","6","-"
"Watts, Anthony","Purd","DL","So","486","FA","NW Thu 8:00PM","2","2","0%","-","6","-"
"Williams, Caesar","Wisc","DB","So","487","FA","W Ky Fri 9:00PM","2","2","0%","-","5","-"
"Anthony, Max","Rut","RB,FLX","Jr","488","FA","TxSt Sat 12:00PM","1","1","0%","-","9","0%"
"Barnes, Noah","MD","TE,FLX","So","489","FA","Tex Sat 12:00PM","1","1","0%","-","5","0%"
"Cooper, Max","Iowa","WR,FLX","So","490","FA","NIU Sat 3:30PM","1","1","0%","-","5","0%"
"Dotson, Matt","MSU","TE,FLX","So","491","FA","UtSt Fri 7:00PM","1","0.5","0%","-","3","0%"
"Edwards, Avery","MD","TE,FLX","Sr","492","FA","Tex Sat 12:00PM","1","1","0%","-","5","0%"
"Farrell, Luke","OHSt","TE,FLX","So","493","FA","OreSt Sat 12:00PM","1","0.5","0%","-","9","0%"
"Fryfogle, Ty","Ind","WR,FLX","So","494","FA","@FLInt Sat 7:00PM","1","1","0%","-","10","0%"
"Kieft, Ko","Minn","TE,FLX","So","495","FA","NMSt Thu 7:00PM","1","0.5","0%","-","5","0%"
"McGowan, Kyric","NW","WR,FLX","So","496","FA","@Purd Thu 8:00PM","1","0.25","0%","-","4","0%"
"Pittman, Darius","Purd","TE,FLX","So","497","FA","NW Thu 8:00PM","1","0.5","0%","-","6","0%"
"Rose, Austin","Neb","RB,FLX","Sr","498","FA","Akr Sat 8:00PM","1","1","0%","-","9","0%"
"Vokolek, Travis","Rut","TE,FLX","So","499","FA","TxSt Sat 12:00PM","1","1","1%","427.8","9","0%"
"Wieting, Nate","Iowa","TE,FLX","Jr","500","FA","NIU Sat 3:30PM","1","1","0%","-","5","0%"
"Martinez, Adrian","Neb","QB,FLX","Fr","501","FA","Akr Sat 8:00PM","0","0","100%","143.75","9","100%"
"Westbrook, Nick","Ind","WR,FLX","Jr","502","FA","@FLInt Sat 7:00PM","0","0","100%","82.28","10","100%"
"Abbott, A.J.","Wisc","WR,FLX","Fr","503","WW","W Ky Fri 9:00PM","0","0","0%","-","5","0%"
"Albericci, Austin","Rut","QB,FLX","Fr","504","WW","TxSt Sat 12:00PM","0","0","0%","-","9","0%"
"Alexander, Javez","MSU","WR,FLX","Fr","505","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0%"
"Alioth Jr., Chad","Neb","WR,FLX","Fr","506","FA","Akr Sat 8:00PM","0","0","0%","-","9","0%"
"Allen, Austin","Neb","TE,FLX","Fr","507","FA","Akr Sat 8:00PM","0","0","5%","-","9","0%"
"Anderson Jr., Amad","Purd","WR,FLX","Fr","508","FA","NW Thu 8:00PM","0","0","0%","-","6","0%"
"Anderson, Drake","NW","RB,FLX","Fr","509","FA","@Purd Thu 8:00PM","0","0","0%","-","4","0%"
"Anderson, Evan","Purd","RB,FLX","Fr","510","WW","NW Thu 8:00PM","0","0","0%","-","6","0%"
"Andrews, Austin","MSU","RB,FLX,DB","So","511","FA","UtSt Fri 7:00PM","0","0","0%","-","3","0%"
"Annexstad, Brock","Minn","WR,FLX","Fr","512","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0%"
"Annexstad, Zack","Minn","QB,FLX","Fr","513","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0%"
"Arcangelo, Joe","PSU","TE,FLX","Jr","514","FA","App Sat 3:30PM","0","0","0%","-","6","0%"
"Armour, Alfred","Purd","RB,FLX","Fr","515","WW","NW Thu 8:00PM","0","0","0%","-","6","0%"
"Autman-Bell, Chris","Minn","WR,FLX","Fr","516","FA","NMSt Thu 7:00PM","0","0","0%","-","5","0%"
"Babb, Kamryn","OHSt","WR,FLX","Fr","517","FA","OreSt Sat 12:00PM","0","0","0%","-","9","0%"
