"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","FRTDY","Int","IntYd","Sk","SkY","Tk","Stf","StY","Sft","RtTY","BFGTDY","TD"
"Martin, Kamal","Minn","LB","Jr","49","FA","NMSt Thu 7:00PM","128","10.67","5","-","-","12","0","1","0","2.0","6","42","6.5","28","0","0","0","0"
"Bowen, Manny","PSU","LB","Sr","50","WW","App Sat 3:30PM","124","13.78","6","-","-","9","0","0","0","1.0","10","51","3","14","0","0","0","0"
"Williams, Aaron","Neb","DB","Sr","51","FA","Akr Sat 8:00PM","122.1","13.57","9","-","-","9","0","2","41","0.0","0","48","1","4","0","0","0","1"
"Farmer, Koa","PSU","LB","Sr","52","FA","App Sat 3:30PM","120.5","9.27","6","-","-","13","0","0","0","1.0","4","48","5.5","15","0","0","0","0"
"Davis, Carlos","Neb","DL","Jr","53","FA","Akr Sat 8:00PM","119.5","9.96","9","-","-","12","0","0","0","2.5","18","42","3.5","19","0","0","0","0"
"Stille, Ben","Neb","DL,LB","So","54","FA","Akr Sat 8:00PM","114.5","12.72","9","-","-","9","0","0","0","3.5","27","24","10","38","0","0","0","0"
"Gifford, Luke","Neb","LB","Sr","55","FA","Akr Sat 8:00PM","113.2","16.17","9","-","-","7","0","1","-3","1.5","10","39","5","17","0","0","0","0"
"Hobbs, Nate","Ill","DB","So","56","FA","Kent Sat 12:00PM","111.5","9.29","5","-","-","12","0","0","0","1.0","7","48","2","8","0","0","0","0"
"Arnette, Damon","OHSt","DB","Jr","57","FA","OreSt Sat 12:00PM","111","9.25","9","-","-","12","0","2","35","0.0","0","44","3","3","0","0","0","0"
"Oliver, Tymir","Ill","DL","Jr","58","FA","Kent Sat 12:00PM","110","10","5","-","-","11","0","0","0","3.0","21","33","4.5","25","0","0","0","0"
"Metellus, Josh","Mich","DB","Jr","59","FA","@ND Sat 7:30PM","107.5","8.27","9","-","-","13","0","0","0","0.0","0","51","1","7","0","0","0","0"
"Harrison, Malik","OHSt","LB","Jr","60","FA","OreSt Sat 12:00PM","107","8.92","9","-","-","12","0","0","0","2.0","18","37","3","20","0","0","0","0"
"Wilkins, Kevin","Rut","DL","Sr","61","FA","TxSt Sat 12:00PM","107","8.92","9","-","-","12","0","0","0","0.0","0","44","6.5","12","0","0","0","0"
"Robinson, Jacob","Ind","DL","Sr","62","FA","@FLInt Sat 7:00PM","104.5","10.45","10","-","-","10","0","0","0","3.5","22","26","6.5","29","0","0","0","0"
"Booker, Dante","OHSt","LB","Sr","63","FA","OreSt Sat 12:00PM","103.5","11.5","9","-","-","9","0","1","0","2.0","13","30","5","26","0","0","0","0"
"Hayes, Damon","Rut","DB","Jr","64","FA","TxSt Sat 12:00PM","101","8.42","9","-","-","12","0","1","0","0.0","0","45","1.5","4","0","0","0","0"
"Williams, Raequan","MSU","DL","Jr","65","FA","UtSt Fri 7:00PM","101","7.77","3","-","-","13","0","0","0","2.5","11","31","6","23","0","0","0","0"
"Hester, Kiy","Rut","DB","Sr","66","WW","TxSt Sat 12:00PM","100.5","10.05","9","-","-","10","0","3","85","0.0","0","31","0","0","0","0","0","2"
"Reed, Antonio","Neb","DB","Sr","67","FA","Akr Sat 8:00PM","98.4","14.06","9","-","-","7","0","1","19","0.0","0","42","2","5","0","0","0","0"
"Watkins, Cameron","Ill","DB","Jr","68","FA","Kent Sat 12:00PM","96","9.6","5","-","-","10","0","1","0","0.0","0","39","3.5","10","0","0","0","0"
"Cashman, Blake","Minn","LB","Sr","69","FA","NMSt Thu 7:00PM","95","9.5","5","-","-","10","0","0","0","2.0","13","30","5","21","0","0","0","0"
